,Search Topic,Title,Question,Votes,Views,Answerer Name,Date of Answer,Answerer Reputation Score
16,python,Saving multiple lists of form data from Flask WTF to Flask SQL Alchemy,From a Flask WTF-Form is it possible to save multiple list's of data to a model under only one data entry? This is more of a general question but if you would like me to show my code id be more then ...,0,6 views,John T,2021-06-04 03:53:19Z,13
17,python,why python array eleemnts are are numbered from left to right? is there anyway to reverse it?,"I am used to coding in VHDL and Matlab and I am new to python. I was wondering why array elements are numbered from left to right instead of right to left as it is computer architecture. For example
x=...",-3,28 views,Rishabh Semwal,2021-06-04 03:50:38Z,231
18,python,How to choice a priority group in regular expression using pipe,"I have this regular expression:
(r'((TO?\s?[:/?-]?\s?FROM?\s?\w+\s?[)-]?)|\bTO[:-?]?\s+\w+\s?([)-]| )+\b|(-|--)?\s?\w{6}\-)', re.I).

that matches patterns separated by the '|'. How can I give ...",-1,8 views,kmt,2021-06-04 03:50:36Z,521
19,python,Can pip/setuptools console scripts pass python options to python itself?,"For example, using -m for pdb and post-mortem debugging, you can do:
python -m pdb script.py arg1 --kwarg
(say for instance that arg1 and kwarg are parsed from sys.argv with the argparse module).
A ...",0,5 views,user2561747,2021-06-04 03:50:36Z,"1,074"
20,python,"ValueError: Input 0 of layer bidirectional is incompatible with the layer: expected ndim=3, found ndim=4. Full shape received: (None, 120, 1024, 1024)","I am trying for named entity recognition and here are the details of my x_train and x_test:
Shape X_train: (3555, 120, 1024) Shape X_test: (887, 120, 1024)
input = Input(shape=(120,))
...",0,8 views,Sarada,2021-06-04 03:47:59Z,43
21,python,How to extract data from grib files in AWS without downloading?,"I'm looking to access a grib file to extract parameters (such as temperature, etc) from within the cloud without ever having to store the file locally. I've heard this can be done with the cfgrib API, ...",0,5 views,Zach Rieck,2021-06-04 03:47:40Z,223
22,python,import apache-beam Can be used in jupyter notebook But it can't be used in pycharm,"enter image description here
enter image description here
The same code uses the same conda virtual environment, but why can't pycharm be used?
python=3.8
apache-beam=2.29.0
I tried to use the CTRL ...",0,7 views,我走路带风,2021-06-04 03:47:16Z,1
23,python,Save the KEY only once when a user inputs either the key or value from a dictionary [duplicate],"So I am trying to receive the Key from the dictionary when a user inputs the key itself or the value of the key in python.
dict= {'1':'one','2':'two','3':'three','4':'four','5':'five'}

userinput = ...",-1,14 views,BuddyBob,2021-06-04 03:46:31Z,"4,246"
24,python,Python: Find the Max Number Can Get As Sum of Multi-Set?,"Question:
Given a multiset of integers, find the max number we can get as the sum of a sub-multiset of these integers such that no 2 integers have an absolute difference of 1
For example:
If the ...",1,24 views,Sujay,2021-06-04 03:45:37Z,"1,143"
25,python,How to calculate number of years between two dates in different pandas columns,"One column has dates but the other has a string containing a date, so I first need to extract the date part from that string.

import pandas as pd
import datetime
from dateutil.relativedelta import ...",4,4k views,Rogerup,2021-06-04 03:44:49Z,11
26,python,Why is heroku not working on my discord bot?,"so I'm making a test discord bot with discord.py and I was gonna host it on Heroku
(the code is something like this)
import discord
from datetime import *
import time
client = discord.Client()
@...",0,8 views,Gili,2021-06-04 03:44:37Z,1
27,python,How to type mutable default arguments,"The way to deal with mutable default arguments in Python is to set them to None.
For example:
def foo(bar=None):
    bar = [] if bar is None else bar
    return sorted(bar)

If I type in the function ...",4,40 views,Mad Physicist,2021-06-04 03:41:43Z,76.8k
28,python,"XML, add SubElement in SubElement with Python","I have problem that I want to add SubElement in SubElement in xml.etree with Python. First, I have tried to use this code to add SubElement in SubElement:
bndbox = ET.SubElement(_object, 'bndbox')
...",0,7 views,Đức Trí,2021-06-04 03:40:10Z,11
29,python,i'm trying to make Hashmap but hard to make rehash method,"https://colab.research.google.com/drive/1vTSXi7wsia719Byk7cerXpXeCE_rsEvd?usp=sharing
i'm trying to make rehash method from hashmap class but i don't know why it goes to infinite roof and sometimes it ...",-3,18 views,yuran Choi,2021-06-04 03:36:10Z,1
30,python,How to fetch only emails addresses with imap_tools?,"I want to collect the FROM field (email addresses) of all emails that I received from my gmail account.
I'm using imap_tools in order to achieve this:
from flask import Flask, jsonify
from imap_tools ...",-1,22 views,Vladimir,2021-06-04 03:34:35Z,"4,021"
31,python,find all possible paths between source and destination in undirected graph in python,"I have adjacency list right for undirected graph but my code is reaching its recursion limit.
adjacencyList = [[1, 2], [0], [0]]
visited=[]
def allpath(v1,v2,path,_output):
    if v1==v2:
        ...",0,21 views,Abdullah Ilyas,2021-06-04 03:31:03Z,1
32,python,Installing Coral Edge TPU software gives me “ModuleNotFoundError: No module named 'pycoral.adapters'” error,"I am trying to install the Coral Edge TPU software on MacOS 11.5 by following these instructions:
https://coral.ai/docs/accelerator/get-started/#3-run-a-model-on-the-edge-tpu
But by the time I enter ...",0,11 views,azgolfer,2021-06-04 03:30:45Z,14.5k
33,python,How can I change the server name indication in a Python request?,"I have been looking around the Internet, and have only been able to find solutions to set the SNI in other languages, but was not able to find a solution for Python.
I want to be able to change the ...",1,14 views,Hype Resell,2021-06-04 03:30:18Z,11
34,python,Why are certain lines in image unable to convert to text correctly?,"Is there an obvious reason why the text lines in the middle of the image are not being converted to text correctly? This image is a frame captured from a youtube video.
image = cv2.imread(file_loc)
...",0,10 views,Stype,2021-06-04 03:29:02Z,1
35,python,Batch replace an illegal character from all subfolders and files,"New to this so apologies in advance for any ignorance...
I helped a friend transfer a bunch of files to a Synology from an old Mac formatted drive. The issue is she used a ""/"" in a lot of ...",-1,9 views,noobpilot,2021-06-04 03:27:42Z,1
36,python,Expected to have multiple list value but only get 1,"key1= input (""add vertex :"")
V = int (key1)
for edge in range (V):
    do=input (""add edge <src><dest><wt>:"").split()
    x = [str(do)]
print (x)

I try to get a ...",0,17 views,Rishabh Semwal,2021-06-04 03:26:48Z,231
37,python,python version of C unsigned char,"I need help with a python version for this C code:

#define HostBusy_high   0x02
#define control_register    0x37a

Out32 (control_register,(unsigned char)(Inp32(control_register) | HostBusy_high));
...",0,14k views,jxramos,2021-06-04 03:26:33Z,"5,024"
38,python,Django form submit with hundreds of Celery tasks,"I have created a system that enables a user to select users and notify them. When they submit their form, the code will execute a celery task to notify each user. I am getting browser timeouts when ...",0,10 views,wraasch,2021-06-04 03:25:55Z,325
39,python,How to handle 1000+ categorical values for encoding?,I have one column which is having 1000+ categorical values. How to convert them to numerical to be able to use for machine learning algorithm?,-3,16 views,Sudonym,2021-06-04 03:24:36Z,36
40,python,Substitue values using recursion without using loops [duplicate],"I have a task where I'm supposed to replace certain values in a list or nested list with other values.
For example:
    Input: subst_all([""a"", ""b"", ""b"", ""a""], &...",-2,19 views,Anas Mostafa,2021-06-04 03:23:13Z,27
41,python,How to change the for loop in my code to give me an additional column in my dataframe?,"I'm doing a semantic search to find the closest synonym in two text columns, in two different dataframes.
The code is as below,
""""""
This is a simple application for sentence embeddings: ...",0,44 views,Manikanta,2021-06-04 03:22:43Z,36
42,python,Google Vision API - Running Explicit Content Detection (Safe Search) Using a URL,"I'm having trouble running an image from a URL through the Vision API's Safe Search/Explicit Content Detection. Python Samples can be found here:
https://github.com/googleapis/python-vision/blob/HEAD/...",0,10 views,RE Wolfe,2021-06-04 03:22:09Z,3
43,python,Python PyGithub Not Allowing Access To My Repository,"I'm currently attempting to access GitHub's API with the python library PyGithub which can be referenced here: https://pygithub.readthedocs.io/en/latest/
Here is the code that isn't working as it ...",0,12 views,slideshowp2,2021-06-04 03:21:53Z,38.7k
44,python,Is the function os. add_dll_directory() adding directories permanently?,For loading DLL libraries in Python 3.8+ I understand the the path environemnt variable is not used anymore to search for dependencies. Therefore the function os. add_dll_directory() should be used to ...,0,19 views,CristiFati,2021-06-04 03:21:28Z,28.8k
45,python,Raspberry Pi 4 stuck in serial.Serial(),"I'm try to use RS232HAT With raspberry Pi 4 and I found this problem.
This is My code.
import serial
#print(serial.__file__)

dev = ""/dev/ttySC0""
Baudrate = 115200

ser = serial.Serial(dev, ...",0,8 views,P-Suttipong,2021-06-04 03:20:45Z,1
46,python,"to_csv，Error: need to escape, but no escapechar set and copy_from StringDataRightTruncation: value too long for type character","I am trying load my pandas dataframe ot postgressql db with psycopg2.
So, here is what I am doing.
dft.to_csv(tmp_csv, header=False,index = False,sep='\x1f',quoting=csv.QUOTE_NONE,quotechar='')
f = ...",0,12 views,Johnson Francis,2021-06-04 03:20:07Z,181
47,python,How to fill a np.nan column in a group based on a value in another column?,"I have a subset of a dataframe that I need to backfill using grouping and conditions based on another column.
data = [
    [""1A"", ""aa"", ""2020-05-09""],
    [""1A"",...",1,19 views,Anurag Dabas,2021-06-04 03:19:30Z,"7,498"
48,python,AssertionError( AssertionError: View function mapping is overwriting an existing endpoint function: conpab 127.0.0.1),Does anyone know why I use flask and type the URL : 127.0.0.1/testpge to chrome and the error always show : AssertionError( AssertionError: View function mapping is overwriting an existing endpoint ...,-1,15 views,Akshay Jain,2021-06-04 03:19:26Z,586
49,python,Pandas melt with n columns and order control (counter),"I have a dataset in wide format where the x and y ordinates for a line are in separate columns. The example below has only 4 ordinate pairs, but the actual dataset has a few dozen. There is a column ...",3,32 views,sammywemmy,2021-06-04 03:18:37Z,15k
50,excel,Copy cell value based on checkbox and export into word,"I am trying to create a VBA script that copies a cell value when a form control checkbox in the corresponding row is ""checked"". There are around 116 rows, and I only want to copy the cell ...",0,15 views,Алексей Р,2021-06-04 04:09:19Z,"1,331"
51,excel,OleDbCommand create excel column name with bracket,"I want to create excel file by oledb, and my code is
int index = 0;
foreach (DataColumn col in dt.Columns)
{   
    datatype[index] = $""[{col.ColumnName}]"" + "" String"";
    index++;...",2,21 views,DeAn,2021-06-04 03:45:14Z,23
52,excel,Add slicer into VBA UserForm,"I am wondering how can I insert the slicer into the userform after creating the pivot table in excel 2016.

Inserting slicer means clickable slicer, not image..

Could anyone show me some example vba ...",0,718 views,Kantumrobot,2021-06-04 03:38:02Z,5
53,excel,Extract values from CSV and put it into an Excel sheet,"I have a CSV file called HardwareMonitoring.csv located in the route D:\GPU Info
I need to run a macro in my Excel file to extract some information from the CSV file and put it into the Excel Sheet1 ...",0,9 views,Santiago Cuartas Rmrz,2021-06-04 03:32:51Z,151
54,excel,Search(max + len)*(category),"enter image description herei need help on this formula
{=index(""Address"",match(true,isnumber(search(""Address"",""Customers Address"")),0)}
this formula result will search ...",0,14 views,Fah Kian,2021-06-04 03:31:04Z,1
55,excel,Changing entire excel sheet to “Text” cell format XLRD,"I want to read excel sheet as displayed.  Can I change entire sheet to Text cell format to read the face value of the cells?  For example ""#N/A"" in General format cell is giving me ""42&...",0,9 views,bakalolo,2021-06-04 03:22:46Z,"2,557"
56,excel,Can you use a checkbox on a form to create a new record in a related table in Access?,"Can you use a checkbox on a form to trigger an event that will create a record in another (related) table?
This form:
Inspection ID: 123 Date: 4/5/2006 Inspector: Keith Site: 789 Elm St
Violations:
1A ...",0,16 views,Harun24HR,2021-06-04 02:54:41Z,12.5k
57,excel,Insert Multiple Shapes based on cell value,"I am trying to find a way to insert rectangle shapes x amount of times based on cell input.
example: cell a1 has 3 entered, macro would make 3 rectangles, if cell a1 has 6 entered, macro would make 6 ...",0,19 views,Kin Siang,2021-06-04 02:49:48Z,834
58,excel,Route undefined when importing in Laravel excel,"I'm trying to use the import funtionality of Laravel excel, but it always return the Route: undefined error even if the route is registered. Please see my code, and details below.
web.php
Route::get('...",0,10 views,John Lobo,2021-06-04 02:24:53Z,"1,204"
59,excel,Iterative/Looped Substitute without VBA,"Abridged Question:
If I have a concatenated string of ""|#|#|#|...|#|"", how can I apply a multiplier to each of the numbers and update the concatenated text?  For example, for |4|12|8|, ...",4,290 views,chris neilsen,2021-06-04 02:23:18Z,48.1k
60,excel,VBA/Excel – calculate date then adjust if weekend or holiday,"What I'm trying to achieve:

Create a formula that calculates a deadline date using four variables :   StartDate, Over2%Date, Percentage, Currency
If Percentage < 2%, the function should first ...",0,9 views,XTW430,2021-06-04 01:51:56Z,1
61,excel,"One Array function using INDEX, SMALL, IF works but the other doesn't","I'm hoping someone can figure this out for me, because I'm stumped!
I have an excel tab called Data, that is holding all the data I want to look at.
Check (A)
Sector (B)
Sub/Sector(C)
Overarching ...",0,41 views,chris neilsen,2021-06-04 01:47:33Z,48.1k
62,excel,Trimming blank spaces in Excel without losing formatting,"I've located an Excel macro that will trim trailing spaces:
Sub trimspace()
    Dim c As Range
    Dim rngConstants As Range
    On Error Resume Next
    Set rngConstants = ActiveSheet.UsedRange....",0,29 views,Tim Williams,2021-06-04 01:25:51Z,123k
63,excel,Kindly help me resolve my vba code error in excel userform am creating [duplicate],"a writing a vba user form in excel but i receive this error message when i run my application
and in the code section this is highlighted when i click on debug
.RowSource = ""Product Master!A2:D&...",0,23 views,BigBen,2021-06-04 01:24:18Z,32.6k
64,excel,"How to build a vba code that copies a cell content, not the entire cell?","I'm looking for a piece of code that will copy a cell content (not copy values) but the actual text in it.
WHY: I need to copy the cell content to another program (let's  say - notepad). When I use ...",-3,38 views,Spectric,2021-06-04 01:20:43Z,"6,235"
65,excel,Custom Range using CurrentRegion sets the cell index for the first column as -10?,"This is a weird one as I didn't even know this was possible but hopefully, there is a solution for this. Thanks in advance.
ThisWorkbook.gRosterPermData.Address

Returns:
$L$1:$Z$6
Here is the weird ...",0,18 views,QHarr,2021-06-04 00:53:50Z,73k
66,excel,Module seems to be installed yet Jupyter Notebook won't recognize module,"I attempted to exectue the following code:
df = pd.DataFrame()
for file in files:
     if file.endswith('.xls'):
         df = df.append(pd.read_excel(file), ignore_index=True) 
df.head()

but ...",0,16 views,Anurag Dhadse,2021-06-04 00:52:15Z,596
67,excel,Two dimensional lookup values to simulate Index/Match,I have an Excel file that is used to upload data into an EPM software that involves copy pasting the data from one sheet to the other on a cell by cell basis because I cannot use Index/Match or any of ...,-1,21 views,Ken White,2021-06-04 00:33:48Z,118k
68,excel,"Find all items on list B that are not on list A, Excel.","I have list A with 259 items and list B with 626 items. There is some overlap between the list, so I want to find all items on list B, which are not on list A. I've been trying to find some info on ...",5,13k views,Brennan Pope,2021-06-03 23:18:31Z,805
69,excel,“There is a problem with this formula” using rank in excel [closed],when I try and enter the code =rank(d5;$D$5:$D$20) into a cell I get and error message image,-1,20 views,enz,2021-06-03 22:45:50Z,1
70,excel,How to read Excel file in Perl by sheet name,"I am looking for some examples/advice on how to write a Perl script
to read data from an Excel file by sheet name and not sheet number.
This is an example with Spreadsheet, but it doesn't work with ...",0,22 views,toolic,2021-06-03 22:39:36Z,46.4k
71,excel,What does Sheet!B4 mean in Excel? [closed],"I saw this used somewhere (don't exactly remember where), but I got curious what does ""Sheet!B4"" do. Is it just a name given to an excel sheet? Or is it some command? I've never actually ...",0,21 views,Harkeerat Singh Panesar,2021-06-03 22:36:54Z,1
72,excel,"Arduino Uno, PLX-DAQ and 125Khz RFID reader problem","Project largely working. Have a 125Khz RFID module on an Arduino Uno, with SD card module and and RTC, all working nicely and passing data via PLX-DAQ to Excel and storing data to SD card.
I need a ...",0,5 views,Saul,2021-06-03 22:36:31Z,"1,497"
73,excel,How to share an Excel file that has a SQL Query Connection,"I am trying to share a file containing a table of information pulled from an external SQL query connection. It works fine for me as I have the connections set up on my PC but when I send the file out, ...",2,3k views,Sigma,2021-06-03 22:10:26Z,15
74,excel,"Autosort script works when adding new info to sheet, but doesn't resort when taking things out","Brand new to Excel VBA.
I'm trying to autosort rows in a table based on a single cell value in that row. The possible values for that column are 1,2,3, or 4, based on certain other conditions in the ...",0,12 views,Coldest,2021-06-03 22:10:09Z,13
75,excel,Converting javascript to VBA macro,"I'm having trouble finding a converter from a javascript to VBA macro. Can anyone tell me how to accomplish this function as a macro? It hides any row from 4-94 that has a null value in its column A, ...",0,28 views,Tim Williams,2021-06-03 21:50:56Z,123k
76,excel,Excel to Word VBA - Export data with a logo every x rows,I'm trying to create a set of plates (group of 5 rows with some data took from the mainsheet) and create a Word file that put 2 plate per page. Before every plate i wanna insert a logo (i'm trying to ...,0,15 views,braX,2021-06-03 21:48:38Z,"9,712"
77,excel,Incorporating 'findnext' function into existing 'find' code?,"I've VBA code that is working and displaying the first match within a UserForm.
When calling the search, the user is presented a userform and focus is on a ComboBox which requires the user to select ...",2,45 views,Community,2021-06-03 21:21:06Z,1
78,excel,Python or Excel & Power BI for Entry-level Data Analysts Fast Job Finding? [closed],"For entry-level data analyst, assuming they have the required resources, which skill/software should they focus on to find a job FAST; Excel & Power BI or Python  (Pandas, Matplotlib, Plotly and ...",-1,11 views,Waleed,2021-06-03 21:19:16Z,27
79,excel,How to fix my code to avoid VLOOKUP Error 1004 upon clearing data,"Probably a bit of a noob question,
I am starting my first user form in Excel.
I have a ComboBox, in which uses a drop down list to select a value. Once this value is selected it uses VLOOKUP to ...",1,15 views,James,2021-06-03 21:18:27Z,457
80,excel,Cant retrieve element from page,"I'm having trouble trying to retrieve the IUPAC name of a chemical on the following page:
https://echa.europa.eu/brief-profile/-/briefprofile/100.000.685
I'd simply like the printed result to return ...",0,15 views,QHarr,2021-06-03 21:17:13Z,73k
81,excel,i need excel formula for ( If price of any product is changed in later dates for same product it should highlight),i need excel formula for ( If price of any product is changed in later dates for same product it should highlight the difference in price and also show how much difference from last price . ),-1,10 views,IT care,2021-06-03 21:15:25Z,1
82,excel,Issue passing an Excel array formula to a VBA function,"I have the following scenario (in excel 2010):

2 columns, one with a list of User names and the other with their related email addresses (I assigned them the named ranges: UserName and UserEmail).
a ...",1,35 views,Marte,2021-06-03 21:04:01Z,11
83,excel,How to pass a path from VBA to $ARGV [0] in Perl,"I want to memories the path of my Excel file by using command line arguments argv[0],
in order to use it after by Perl, How do I do this in VBA please?
I have this proposition, but it doesn't work !
#...",0,27 views,lunched,2021-06-03 20:53:17Z,21
84,excel,How do you paste filtered values only in the cells that were affected by such filter using vba?,"I'm currently working on a Macro that its currently filtering a table based on a value and then it copies the data under a column after the filters have been applied (got that to work). However, I can'...",1,23 views,VBasic2008,2021-06-03 20:27:31Z,14.8k
85,excel,VBA to enter value into top X visible cells of filtered data within a loop,I am working on sampling solution for my QA team where the production file on excel is randomized and a sample of each user is considered for QA purposes. I need to loop through the visible cells of a ...,0,12 views,Renin Mathew,2021-06-03 19:55:39Z,23
86,excel,Excel VBA - Insert X Rows (Loop),"New to this but need to write some VBA to help with an issue that I face constantly.
I have two worksheets - each with a list of accounts. I need to create one worksheet that combine the two lists ...",0,17 views,BigBen,2021-06-03 19:50:29Z,32.6k
87,excel,Can I change the default text qualifier settings for Excel when I open .xls files exported from SAP?,"To nip it right in the bud, I'm aware that opening these files through Excel and using the Import Wizard will fix this issue, however, I have already written many macros that I would prefer not to ...",0,30 views,M. Terry,2021-06-03 19:47:29Z,35
88,excel,Excel VBA: range.formula isn't reproducing the formula that I typed in,"In Excel VBA I typed this in:
With ThisWorkbook.Worksheets(ThisWorkbook.Sheets.Count)
   n = .UsedRange.Rows.Count - 1
   frmla = ""=if(iserror(match("" & Chr(34) & ""*Total*"" ...",0,28 views,Jason D.,2021-06-03 19:39:00Z,21
89,excel,VBA setting the values of a chart to multiple selected cells,"I am trying to write a VBA that generate the plot on the ActiveSheet with the values from the cells F3, F6,F9,F12 of any spreadsheet. My codes are shown below.
Sub Column_Chart()
With ActiveSheet....",0,12 views,luoluuuo,2021-06-03 19:21:54Z,3
90,excel,"VBA copy the value,format and color of the last non empty cell of the column","I've been wanting to copy the value but also the format and the cell color of the last non empty cell in column B, and past it in cell B1 in all the sheets.
Here is the code I used, but I always get ...",1,23 views,VBasic2008,2021-06-03 18:58:18Z,14.8k
91,excel,Editing Multiple Excel workbooks [closed],I would like to know if it is possible to take a workbook and update multiple workbooks that have the same column headers but different sheet names. Example I take file1 that has sheet1 and copy ...,-3,22 views,Anthony Mullins,2021-06-03 18:35:38Z,1
92,excel,Is there a way to combine COUNTIF and FILTER?,"I have some data that looks somewhat like this:
Alice
Bob
Carla
Dave
Role
Role1
Role1
Role2
*Role2(
Jan
Activity1
Activity2
Activity3
Activity1
Feb
Activity2
Activity1
Activity1
Activity3
Mar
...",0,50 views,TrevorWiley,2021-06-03 18:30:14Z,728
93,excel,Parsing/Converting big XLSX (over 600MB) to CSV in NodeJS,"I've got a problem with converting big XLSX which is over 600mb to CSV. The thing is that with smaller files(>3MB) it's fine, but when it comes to big files then I can see how it eats up the whole ...",2,1k views,Gabe Gates,2021-06-03 18:17:33Z,596
94,excel,How to Nest Loop in Excel Script in order to Scan specific Range,"i'm converting a VBA Macro to a Excel Script in order to run a macro at Excel Web
The VBA Code:
//Parameters is a Sheet who has startCol/endCol Cell number and startRow/endRow numbers
// Cells 3,4 is ...",0,24 views,Petra,2021-06-03 18:13:59Z,46
95,excel,pivot tables automated with python that also have the functionality that excel has,"I have been able to create a pivot table with python (pandas) but unfortunately, the pivot table I need has to be collapsable. When creating a pivot table in excel this is very easy but I am trying to ...",0,14 views,hcam93,2021-06-03 18:07:41Z,11
96,excel,Need to update chart while macro is running,"I have a workbook that produces a PowerPoint slide deck with statistics for 4 different products for 150 cities.  Well, it's supposed to produce the slide deck.  My problem is the charts are not ...",-1,10 views,RandyL,2021-06-03 18:02:11Z,1
97,excel,Excel to Python changed my date & time to 44192.0. How do I change this date back to 12/27/2020 in python?,"My excel dates were converted from

to
Date    Region  District
44192.0 2.0     8577
44192.0 2.0     8577
44192.0 2.0     8577    

The date in python doesn't even look remotely close to the correct ...",0,27 views,aneroid,2021-06-03 17:59:50Z,11.1k
98,excel,Extracting multiple url address from excel cell /excel file,"I have multiple cells at excel like the one below and I want to extract all the URLs which start with ""https://images""
<div id=""images-gallery"" class=""slick-carousel slick-...",0,43 views,Jason Aller,2021-06-03 17:57:52Z,"3,391"
99,excel,How can I transpose values imported via QueryTables using VBA?,"I have created a VBA code where it prompts for a CSV file and imports it. However, it imports values as a row.  I need them to be imported as a column.  How?
I tried setting the Range to $B$2:$B$10, ...",0,28 views,Dennis,2021-06-03 17:54:19Z,"6,949"
100,R,rjags library loaded but cannot find functions,"I have downloaded JAGS and it seems I have loaded the rjags library successfully.
library(rjags)

Loading required package: coda
Linked to JAGS 4.3.0
Loaded modules: basemod,bugs

However, it doesn't ...",0,7 views,placeholder,2021-06-04 04:05:28Z,5
101,R,subset the data based on an equation in R,"In my very large data frame, I need to find the depth at which par = 1% of the max par at each station. I can find this depth using:
  Station <- c(1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6,...",0,7 views,Ronak Shah,2021-06-04 04:05:19Z,288k
102,R,Dplyr SELECT issue with single apostrophe,"I am trying to use the select function with the dplyr package for the following variable:
APP-Reviewer’s Observations on Research Protocols
My assumption is that I need to escape the the single ...",0,71 views,Ronak Shah,2021-06-04 04:00:22Z,288k
103,R,Split dataframe column into 2 based on row content in R [duplicate],"I'm using tidy census and I have 2 variables for each census tract which makes my data frame look like this:
GEOID
tract
variable
estimate
24005400100
Tract 4001
white_pop
3436
24005400100
Tract ...",0,8 views,Ronak Shah,2021-06-04 03:30:37Z,288k
104,R,How to insert multiple rows into MySQL table (with auto increment) and skip duplicates?,"I have a MySQL table1 in which:

id is auto incremented

A, B, C are NON-UNIQUE
dbReadTable(con, ""test1"")

id A B C
1  a 5 A
2  b 4 B
3  c 3 C
4  a 2 A
5  b 1 B
I want to add new rows to ...",0,23 views,ysth,2021-06-04 03:28:32Z,88.2k
105,R,How do I solve this warning “Discarded datum Unknown based on WGS84 ellipsoid in Proj4 definition”?,"I am very very new to r and I don't know why I cannot run this code. Any help is appreciated, thank you!
enter image description here",0,10 views,Dave2e,2021-06-04 03:23:41Z,15.8k
106,R,Delete rows with multiple conditions in R,"I have tried to look through these examples https://www.datasciencemadesimple.com/delete-or-drop-rows-in-r-with-conditions-2/
Delete rows based on multiple conditions in r
but its now working on my ...",0,20 views,Ronak Shah,2021-06-04 02:57:52Z,288k
